System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   2.928152417 + j -3.387839621
[   2,   1] =  -2.604362511 + j  2.641313183
[   3,   1] = -0.2079847259 + j 0.3046984049
[   4,   1] = -0.07506056403 + j 0.1979980324
[   5,   1] = -0.4281524173 + j 0.8878428483
[   6,   1] =  0.2079847259 + j-0.3046994464
[   7,   1] = 0.07506056403 + j-0.1979984293
[   8,   1] =  0.1043625109 + j-0.1413136597
[   2,   2] =   7.940380634 + j -8.125098807
[   3,   2] =  -2.624238447 + j  2.653349515
[   4,   2] =  -2.633951438 + j  2.657689197
[   5,   2] =  0.1043625109 + j-0.1413136597
[   6,   2] =  0.1242384473 + j-0.1533501226
[   7,   2] =  0.1339514384 + j-0.1576898072
[   8,   2] = -0.4303806341 + j 0.6251018487
[   3,   3] =   2.978885036 + j   -3.4200378
[   4,   3] = -0.1274522271 + j 0.2416809387
[   5,   3] =  0.2079847259 + j-0.3046994464
[   6,   3] = -0.4788850357 + j 0.9200412005
[   7,   3] =  0.1274522271 + j-0.2416816008
[   8,   3] =  0.1242384473 + j-0.1533501226
[   4,   4] =   2.884746105 + j -3.356954162
[   5,   4] = 0.07506056403 + j-0.1979984293
[   6,   4] =  0.1274522271 + j-0.2416816008
[   7,   4] = -0.3847461053 + j 0.8569572311
[   8,   4] =  0.1339514384 + j-0.1576898072
[   5,   5] =  0.4455156609 + j-0.8962490236
[   6,   5] = -0.2079847259 + j 0.3046984049
[   7,   5] = -0.07506056403 + j 0.1979980324
[   8,   5] = -0.1217257545 + j 0.1497225855
[   6,   6] =  0.5002675486 + j-0.9270658921
[   7,   6] = -0.1274522271 + j 0.2416809387
[   8,   6] = -0.1456209602 + j 0.1603776068
[   7,   7] =  0.3984116211 + j-0.8654232885
[   8,   7] = -0.1476169542 + j 0.1661583227
[   8,   8] =  0.4927919587 + j -0.649005452
