System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =  0.0430116291 + j-0.1534871242
[   2,   1] = 0.006333273712 + j-0.006773702671
[   3,   1] = 0.006333273712 + j-0.006773702671
[   2,   2] =  0.0430116291 + j-0.1534871242
[   3,   2] = 0.006333273712 + j-0.006773702671
[   3,   3] =  0.0430116291 + j-0.1534871242
[   4,   4] =             0 + j -15.12287335
[   7,   4] =             0 + j  15.12287335
[   8,   4] =             0 + j  139.4651511
[  11,   4] =             0 + j -139.4651511
[   5,   5] =             0 + j -15.12287335
[   7,   5] =             0 + j  15.12287335
[   9,   5] =             0 + j  139.4651511
[  11,   5] =             0 + j -139.4651511
[   6,   6] =             0 + j -15.12287335
[   7,   6] =             0 + j  15.12287335
[  10,   6] =             0 + j  139.4651511
[  11,   6] =             0 + j -139.4651511
[   7,   7] =             0 + j -45.36862004
[   8,   7] =             0 + j -139.4651511
[   9,   7] =             0 + j -139.4651511
[  10,   7] =             0 + j -139.4651511
[  11,   7] =             0 + j  418.3954534
[   8,   8] =  0.4281524173 + j -1287.054029
[   9,   8] = -0.2079847259 + j 0.3046984049
[  10,   8] = -0.07506056403 + j 0.1979980324
[  11,   8] = -0.1043625109 + j  1286.307503
[  12,   8] = -0.4281524173 + j 0.8878428483
[  13,   8] =  0.2079847259 + j-0.3046994464
[  14,   8] = 0.07506056403 + j-0.1979984293
[  15,   8] =  0.1043625109 + j-0.1413136597
[   9,   9] =  0.4788850357 + j -1287.086227
[  10,   9] = -0.1274522271 + j 0.2416809387
[  11,   9] = -0.1242384473 + j  1286.319539
[  12,   9] =  0.2079847259 + j-0.3046994464
[  13,   9] = -0.4788850357 + j 0.9200412005
[  14,   9] =  0.1274522271 + j-0.2416816008
[  15,   9] =  0.1242384473 + j-0.1533501226
[  10,  10] =  0.3847461053 + j -1287.023144
[  11,  10] = -0.1339514384 + j  1286.323879
[  12,  10] = 0.07506056403 + j-0.1979984293
[  13,  10] =  0.1274522271 + j-0.2416816008
[  14,  10] = -0.3847461053 + j 0.8569572311
[  15,  10] =  0.1339514384 + j-0.1576898072
[  11,  11] =  0.4403806341 + j -3859.123667
[  12,  11] =  0.1043625109 + j-0.1413136597
[  13,  11] =  0.1242384473 + j-0.1533501226
[  14,  11] =  0.1339514384 + j-0.1576898072
[  15,  11] = -0.4303806341 + j 0.6251018487
[  12,  12] =  0.4455156609 + j-0.8962490236
[  13,  12] = -0.2079847259 + j 0.3046984049
[  14,  12] = -0.07506056403 + j 0.1979980324
[  15,  12] = -0.1217257545 + j 0.1497225855
[  13,  13] =  0.5002675486 + j-0.9270658921
[  14,  13] = -0.1274522271 + j 0.2416809387
[  15,  13] = -0.1456209602 + j 0.1603776068
[  14,  14] =  0.3984116211 + j-0.8654232885
[  15,  14] = -0.1476169542 + j 0.1661583227
[  15,  15] =  0.4927919587 + j -0.649005452
